"","Yuca Martes","Yuca Jueves","Yuca Viernes","Plátano Martes","Plátano Jueves","Plátano Viernes","Papa Martes","Papa Jueves","Papa Viernes","Piña Martes","Piña Jueves","Piña Viernes","Naranja Martes","Naranja Jueves","Naranja Viernes","Mandarina Martes","Mandarina Jueves","Mandarina Viernes","Banano Martes","Banano Jueves","Banano Viernes","Tomate Martes","Tomate Jueves","Tomate Viernes"
"1",940,929,893,1080,980,1000,800,820,810,633,700,683,640,660,660,1576,1707,1696,717,917,883,761,682,784
"2",1071,1071,1131,1040,1000,1040,820,780,750,633,650,758,670,630,620,1970,1739,1630,867,833,858,1205,1364,1568
"3",1042,935,997,1040,930,1000,680,700,633,633,525,517,610,593,620,1783,1714,1690,792,833,833,1284,1170,1165.40229885057
"4",1339,1339,967,1157,1083,1170,707,713,727,522,558,625,617,642,620,1855,1793,1832,733,813,700,1182,943,1034
"5",1265,997,1012,1050,1140,1109,867,867,833,642,654,633,665,630,647,1739,1957,1739,750,750,717,966,864,750
"6",1131,1149,1100.96551724138,1250,1168,1170.72413793103,873,793,844.298850574713,647,600,634.235632183908,620,615,624.741379310345,1884,1812,1703.98275862069,783,783,767.304597701149,625,659,623.086206896552
"7",1220,1071,952,1149,1149,1317,810,825,813,633,633,600,620,620,620,1630,1701,1522,783,811,700,557,500,511
"8",997,1042,1071,1163,1169,1200,947,973,927,667,700,650,620,620,615,1522,1348,1522,783,750,783,477,477,489
"9",1095.52298850575,1250,1190,1185.00574712644,1169,1139,901.729885057471,867,853,646.919540229885,623,608,660.373563218391,900,580,1389.62643678161,1413,1304,786.011494252874,783,783,479.293103448276,528,455
"10",952,1131,1141,1220,1186,1169,920,940,927,667,667,667,633,585,600,1217,1123,1087,783,858,883,432,455,402
"11",1369,1369,1369,1290,1270,1257,913,927,900,633,549,513,595,590,565,1022,793,844,883,893,903,500,530,500
"12",1190,1310,1190,1290,1290,1250,873,900,907,483,521,583,572,583,500,935,870,870,889,883,883,489,455,420
"13",1548,1190,1190,1452,1452,1586,933,927,920,619,567,517,532,617,480,931,870,819,883,883,883,670,682,682
"14",1310,1310,1190,1593,1290,1210,517,853,833,640,575,583,808,550,580,808,728,652,883,850,850,875,818,727
"15",1220,1429,1220,1250,1272,1280,840,833,820,581,583,600,570,560,577,707,906,806.574712643678,850,878,883,733,835,875
"16",1250,1190,1190,1160,1160,1120,807,800,790,625,546,547,620,613,573,812,870,804,883,883,883,1117,1114,1189.37356321839
"17",1369,1190,1071,1260,1280,1220,893,907,907,583,657,639,613,532,532,844,848,826,883,867,867,1261,1506,1670
"18",1280,1265,1190,1200,1210,1130,1000,973,935,675,667,667,532,535,535,844,790,768,833,833,833,1443,1040,1102
"19",1310,1310,1190,1153,1180,1120,813,900,920,667,667,633,537,497,500,762,761,783,833,833,833,1403,1466,1790
